Borough,Category,Measure (e.g Poverty Rate),Area,"Better = (Lower, Higher)",Measure Value,"Unit (%, pts)",London higher threshold,London,London lower threshold,England upper threshold,England,England lower threshold
Barking & Dagenham,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,24.6,%,20.2,16.4,11.82,,,
Barking & Dagenham,Work,Benefits,Out-of-work benefits,Lower,16.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Barking & Dagenham,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,42,%,39.38,33,23.75,38.82,31,23.18
Barking & Dagenham,Housing,Evictions,"Repossessions per 1,000 households",Lower,4.11,,3.39,2.42,1.39,2.51,1.51,0.51
Barking & Dagenham,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,66,%,76.8,71.2,65.65,70.97,65.4,59.83
Barking & Dagenham,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.66,,1.34,0.93,0.5,,,
Barking & Dagenham,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,36.5,%,56.13,46.4,35.48,35.22,24.9,14.58
Barking & Dagenham,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,613,,635.95,353,92.93,,,
Barking & Dagenham,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.9,,1.49,1,0.67,1.21,0.8,0.39
Barking & Dagenham,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,4.6,,4.51,3.3,2.15,4.88,3.7,2.52
Barking & Dagenham,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,12,%,7.82,6.7,3.95,9.34,7.4,5.46
Barking & Dagenham,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.05,,2.59,2.5,2.32,1.85,1.72,1.59
Barking & Dagenham,Living standards,Poverty rate,Poverty rate,Lower,29,%,34.5,25,19.38,29.76,22.2,14.64
Barking & Dagenham,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,433,,362.71,309,265.54,390.59,342,293.41
Barking & Dagenham,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,34.7,%,34.12,28.8,23.88,39.72,34.6,29.48
Barking & Dagenham,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,139,,489.32,219,139.87,,,
Barking & Dagenham,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,16.08,,25.61,16.62,6.51,13.94,4.39,-5.16
Barking & Dagenham,Work,Unemployment rate,Unemployment rate,Lower,6.8,%,5.77,5,4.27,4.45,3.7,2.95
Barking & Dagenham,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.9,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Barnet,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,18.9,%,20.2,16.4,11.82,,,
Barnet,Work,Benefits,Out-of-work benefits,Lower,11.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Barnet,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,25,%,39.38,33,23.75,38.82,31,23.18
Barnet,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.09,,3.39,2.42,1.39,2.51,1.51,0.51
Barnet,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,80.1,%,76.8,71.2,65.65,70.97,65.4,59.83
Barnet,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.5,,1.34,0.93,0.5,,,
Barnet,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,43.1,%,56.13,46.4,35.48,35.22,24.9,14.58
Barnet,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,338,,635.95,353,92.93,,,
Barnet,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.77,,1.49,1,0.67,1.21,0.8,0.39
Barnet,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.6,,4.51,3.3,2.15,4.88,3.7,2.52
Barnet,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.9,%,7.82,6.7,3.95,9.34,7.4,5.46
Barnet,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.41,,2.59,2.5,2.32,1.85,1.72,1.59
Barnet,Living standards,Poverty rate,Poverty rate,Lower,26,%,34.5,25,19.38,29.76,22.2,14.64
Barnet,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,258,,362.71,309,265.54,390.59,342,293.41
Barnet,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,21.7,%,34.12,28.8,23.88,39.72,34.6,29.48
Barnet,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,166,,489.32,219,139.87,,,
Barnet,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,13.63,,25.61,16.62,6.51,13.94,4.39,-5.16
Barnet,Work,Unemployment rate,Unemployment rate,Lower,5.4,%,5.77,5,4.27,4.45,3.7,2.95
Barnet,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.1,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Bexley,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,16.7,%,20.2,16.4,11.82,,,
Bexley,Work,Benefits,Out-of-work benefits,Lower,10.4,%,15.19,12.8,10.02,15.68,13.1,10.52
Bexley,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,26,%,39.38,33,23.75,38.82,31,23.18
Bexley,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.76,,3.39,2.42,1.39,2.51,1.51,0.51
Bexley,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,69.4,%,76.8,71.2,65.65,70.97,65.4,59.83
Bexley,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.48,,1.34,0.93,0.5,,,
Bexley,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,33.2,%,56.13,46.4,35.48,35.22,24.9,14.58
Bexley,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,284,,635.95,353,92.93,,,
Bexley,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.7,,1.49,1,0.67,1.21,0.8,0.39
Bexley,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,6,,4.51,3.3,2.15,4.88,3.7,2.52
Bexley,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,7.4,%,7.82,6.7,3.95,9.34,7.4,5.46
Bexley,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.29,,2.59,2.5,2.32,1.85,1.72,1.59
Bexley,Living standards,Poverty rate,Poverty rate,Lower,26,%,34.5,25,19.38,29.76,22.2,14.64
Bexley,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,308,,362.71,309,265.54,390.59,342,293.41
Bexley,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,37.3,%,34.12,28.8,23.88,39.72,34.6,29.48
Bexley,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,92,,489.32,219,139.87,,,
Bexley,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,5.68,,25.61,16.62,6.51,13.94,4.39,-5.16
Bexley,Work,Unemployment rate,Unemployment rate,Lower,4.9,%,5.77,5,4.27,4.45,3.7,2.95
Bexley,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,2.2,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Brent,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,23.3,%,20.2,16.4,11.82,,,
Brent,Work,Benefits,Out-of-work benefits,Lower,14.9,%,15.19,12.8,10.02,15.68,13.1,10.52
Brent,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,36,%,39.38,33,23.75,38.82,31,23.18
Brent,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.45,,3.39,2.42,1.39,2.51,1.51,0.51
Brent,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,68,%,76.8,71.2,65.65,70.97,65.4,59.83
Brent,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.52,,1.34,0.93,0.5,,,
Brent,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,43.1,%,56.13,46.4,35.48,35.22,24.9,14.58
Brent,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,1112,,635.95,353,92.93,,,
Brent,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.11,,1.49,1,0.67,1.21,0.8,0.39
Brent,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,4.1,,4.51,3.3,2.15,4.88,3.7,2.52
Brent,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,7.6,%,7.82,6.7,3.95,9.34,7.4,5.46
Brent,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.42,,2.59,2.5,2.32,1.85,1.72,1.59
Brent,Living standards,Poverty rate,Poverty rate,Lower,32,%,34.5,25,19.38,29.76,22.2,14.64
Brent,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,305,,362.71,309,265.54,390.59,342,293.41
Brent,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,28,%,34.12,28.8,23.88,39.72,34.6,29.48
Brent,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,373,,489.32,219,139.87,,,
Brent,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,13.97,,25.61,16.62,6.51,13.94,4.39,-5.16
Brent,Work,Unemployment rate,Unemployment rate,Lower,5.7,%,5.77,5,4.27,4.45,3.7,2.95
Brent,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-1.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Bromley,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,14,%,20.2,16.4,11.82,,,
Bromley,Work,Benefits,Out-of-work benefits,Lower,9.3,%,15.19,12.8,10.02,15.68,13.1,10.52
Bromley,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,20,%,39.38,33,23.75,38.82,31,23.18
Bromley,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.43,,3.39,2.42,1.39,2.51,1.51,0.51
Bromley,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,73.2,%,76.8,71.2,65.65,70.97,65.4,59.83
Bromley,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.48,,1.34,0.93,0.5,,,
Bromley,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,38.1,%,56.13,46.4,35.48,35.22,24.9,14.58
Bromley,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,90,,635.95,353,92.93,,,
Bromley,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.58,,1.49,1,0.67,1.21,0.8,0.39
Bromley,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.7,,4.51,3.3,2.15,4.88,3.7,2.52
Bromley,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,4.4,%,7.82,6.7,3.95,9.34,7.4,5.46
Bromley,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.57,,2.59,2.5,2.32,1.85,1.72,1.59
Bromley,Living standards,Poverty rate,Poverty rate,Lower,17,%,34.5,25,19.38,29.76,22.2,14.64
Bromley,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,250,,362.71,309,265.54,390.59,342,293.41
Bromley,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,32.6,%,34.12,28.8,23.88,39.72,34.6,29.48
Bromley,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,92,,489.32,219,139.87,,,
Bromley,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,10.87,,25.61,16.62,6.51,13.94,4.39,-5.16
Bromley,Work,Unemployment rate,Unemployment rate,Lower,5,%,5.77,5,4.27,4.45,3.7,2.95
Bromley,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,2.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Camden,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,12.2,%,20.2,16.4,11.82,,,
Camden,Work,Benefits,Out-of-work benefits,Lower,13.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Camden,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,40,%,39.38,33,23.75,38.82,31,23.18
Camden,Housing,Evictions,"Repossessions per 1,000 households",Lower,0.89,,3.39,2.42,1.39,2.51,1.51,0.51
Camden,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,67.9,%,76.8,71.2,65.65,70.97,65.4,59.83
Camden,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.27,,1.34,0.93,0.5,,,
Camden,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,57.2,%,56.13,46.4,35.48,35.22,24.9,14.58
Camden,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,121,,635.95,353,92.93,,,
Camden,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.18,,1.49,1,0.67,1.21,0.8,0.39
Camden,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,1.7,,4.51,3.3,2.15,4.88,3.7,2.52
Camden,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.1,%,7.82,6.7,3.95,9.34,7.4,5.46
Camden,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.48,,2.59,2.5,2.32,1.85,1.72,1.59
Camden,Living standards,Poverty rate,Poverty rate,Lower,41,%,34.5,25,19.38,29.76,22.2,14.64
Camden,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,324,,362.71,309,265.54,390.59,342,293.41
Camden,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,25.2,%,34.12,28.8,23.88,39.72,34.6,29.48
Camden,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,719,,489.32,219,139.87,,,
Camden,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,5.31,,25.61,16.62,6.51,13.94,4.39,-5.16
Camden,Work,Unemployment rate,Unemployment rate,Lower,4.9,%,5.77,5,4.27,4.45,3.7,2.95
Camden,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Croydon,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,16.3,%,20.2,16.4,11.82,,,
Croydon,Work,Benefits,Out-of-work benefits,Lower,14.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Croydon,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,30,%,39.38,33,23.75,38.82,31,23.18
Croydon,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.12,,3.39,2.42,1.39,2.51,1.51,0.51
Croydon,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,64.5,%,76.8,71.2,65.65,70.97,65.4,59.83
Croydon,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.31,,1.34,0.93,0.5,,,
Croydon,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,36.5,%,56.13,46.4,35.48,35.22,24.9,14.58
Croydon,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,571,,635.95,353,92.93,,,
Croydon,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.01,,1.49,1,0.67,1.21,0.8,0.39
Croydon,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.4,,4.51,3.3,2.15,4.88,3.7,2.52
Croydon,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.1,%,7.82,6.7,3.95,9.34,7.4,5.46
Croydon,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.41,,2.59,2.5,2.32,1.85,1.72,1.59
Croydon,Living standards,Poverty rate,Poverty rate,Lower,26,%,34.5,25,19.38,29.76,22.2,14.64
Croydon,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,314,,362.71,309,265.54,390.59,342,293.41
Croydon,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,33.3,%,34.12,28.8,23.88,39.72,34.6,29.48
Croydon,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,373,,489.32,219,139.87,,,
Croydon,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,12.32,,25.61,16.62,6.51,13.94,4.39,-5.16
Croydon,Work,Unemployment rate,Unemployment rate,Lower,5.3,%,5.77,5,4.27,4.45,3.7,2.95
Croydon,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.6,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Ealing,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,19.8,%,20.2,16.4,11.82,,,
Ealing,Work,Benefits,Out-of-work benefits,Lower,13.3,%,15.19,12.8,10.02,15.68,13.1,10.52
Ealing,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,32,%,39.38,33,23.75,38.82,31,23.18
Ealing,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.51,,3.39,2.42,1.39,2.51,1.51,0.51
Ealing,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,73.7,%,76.8,71.2,65.65,70.97,65.4,59.83
Ealing,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.01,,1.34,0.93,0.5,,,
Ealing,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,44.1,%,56.13,46.4,35.48,35.22,24.9,14.58
Ealing,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,774,,635.95,353,92.93,,,
Ealing,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1,,1.49,1,0.67,1.21,0.8,0.39
Ealing,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3,,4.51,3.3,2.15,4.88,3.7,2.52
Ealing,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,7.3,%,7.82,6.7,3.95,9.34,7.4,5.46
Ealing,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.33,,2.59,2.5,2.32,1.85,1.72,1.59
Ealing,Living standards,Poverty rate,Poverty rate,Lower,34,%,34.5,25,19.38,29.76,22.2,14.64
Ealing,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,300,,362.71,309,265.54,390.59,342,293.41
Ealing,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,23.2,%,34.12,28.8,23.88,39.72,34.6,29.48
Ealing,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,563,,489.32,219,139.87,,,
Ealing,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,20.41,,25.61,16.62,6.51,13.94,4.39,-5.16
Ealing,Work,Unemployment rate,Unemployment rate,Lower,4.9,%,5.77,5,4.27,4.45,3.7,2.95
Ealing,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-0.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Enfield,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,22.8,%,20.2,16.4,11.82,,,
Enfield,Work,Benefits,Out-of-work benefits,Lower,16.4,%,15.19,12.8,10.02,15.68,13.1,10.52
Enfield,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,31,%,39.38,33,23.75,38.82,31,23.18
Enfield,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.53,,3.39,2.42,1.39,2.51,1.51,0.51
Enfield,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,65.7,%,76.8,71.2,65.65,70.97,65.4,59.83
Enfield,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.7,,1.34,0.93,0.5,,,
Enfield,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,37.3,%,56.13,46.4,35.48,35.22,24.9,14.58
Enfield,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,240,,635.95,353,92.93,,,
Enfield,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.49,,1.49,1,0.67,1.21,0.8,0.39
Enfield,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,5.8,,4.51,3.3,2.15,4.88,3.7,2.52
Enfield,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,4.4,%,7.82,6.7,3.95,9.34,7.4,5.46
Enfield,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.35,,2.59,2.5,2.32,1.85,1.72,1.59
Enfield,Living standards,Poverty rate,Poverty rate,Lower,33,%,34.5,25,19.38,29.76,22.2,14.64
Enfield,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,297,,362.71,309,265.54,390.59,342,293.41
Enfield,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,34.8,%,34.12,28.8,23.88,39.72,34.6,29.48
Enfield,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,219,,489.32,219,139.87,,,
Enfield,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,23.49,,25.61,16.62,6.51,13.94,4.39,-5.16
Enfield,Work,Unemployment rate,Unemployment rate,Lower,5.6,%,5.77,5,4.27,4.45,3.7,2.95
Enfield,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-0.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Greenwich,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,14.2,%,20.2,16.4,11.82,,,
Greenwich,Work,Benefits,Out-of-work benefits,Lower,13.8,%,15.19,12.8,10.02,15.68,13.1,10.52
Greenwich,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,36,%,39.38,33,23.75,38.82,31,23.18
Greenwich,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.75,,3.39,2.42,1.39,2.51,1.51,0.51
Greenwich,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,66.3,%,76.8,71.2,65.65,70.97,65.4,59.83
Greenwich,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.46,,1.34,0.93,0.5,,,
Greenwich,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,48.9,%,56.13,46.4,35.48,35.22,24.9,14.58
Greenwich,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,382,,635.95,353,92.93,,,
Greenwich,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.26,,1.49,1,0.67,1.21,0.8,0.39
Greenwich,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.8,,4.51,3.3,2.15,4.88,3.7,2.52
Greenwich,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,4.4,%,7.82,6.7,3.95,9.34,7.4,5.46
Greenwich,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.49,,2.59,2.5,2.32,1.85,1.72,1.59
Greenwich,Living standards,Poverty rate,Poverty rate,Lower,21,%,34.5,25,19.38,29.76,22.2,14.64
Greenwich,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,331,,362.71,309,265.54,390.59,342,293.41
Greenwich,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,35.2,%,34.12,28.8,23.88,39.72,34.6,29.48
Greenwich,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,196,,489.32,219,139.87,,,
Greenwich,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,13.91,,25.61,16.62,6.51,13.94,4.39,-5.16
Greenwich,Work,Unemployment rate,Unemployment rate,Lower,4.4,%,5.77,5,4.27,4.45,3.7,2.95
Greenwich,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-0.1,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Hackney,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,16.7,%,20.2,16.4,11.82,,,
Hackney,Work,Benefits,Out-of-work benefits,Lower,16.3,%,15.19,12.8,10.02,15.68,13.1,10.52
Hackney,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,43,%,39.38,33,23.75,38.82,31,23.18
Hackney,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.2,,3.39,2.42,1.39,2.51,1.51,0.51
Hackney,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,71.7,%,76.8,71.2,65.65,70.97,65.4,59.83
Hackney,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.44,,1.34,0.93,0.5,,,
Hackney,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,53.7,%,56.13,46.4,35.48,35.22,24.9,14.58
Hackney,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,246,,635.95,353,92.93,,,
Hackney,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.8,,1.49,1,0.67,1.21,0.8,0.39
Hackney,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.8,,4.51,3.3,2.15,4.88,3.7,2.52
Hackney,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.9,%,7.82,6.7,3.95,9.34,7.4,5.46
Hackney,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.44,,2.59,2.5,2.32,1.85,1.72,1.59
Hackney,Living standards,Poverty rate,Poverty rate,Lower,28,%,34.5,25,19.38,29.76,22.2,14.64
Hackney,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,404,,362.71,309,265.54,390.59,342,293.41
Hackney,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,28,%,34.12,28.8,23.88,39.72,34.6,29.48
Hackney,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,246,,489.32,219,139.87,,,
Hackney,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,24.64,,25.61,16.62,6.51,13.94,4.39,-5.16
Hackney,Work,Unemployment rate,Unemployment rate,Lower,3.8,%,5.77,5,4.27,4.45,3.7,2.95
Hackney,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-2.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Hammersmith & Fulham,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,9.9,%,20.2,16.4,11.82,,,
Hammersmith & Fulham,Work,Benefits,Out-of-work benefits,Lower,12,%,15.19,12.8,10.02,15.68,13.1,10.52
